"name","financial_impact","probability","age","employees","annual_revenue","corax_score","vulnerabilities","threats_to_industry","pagerank","max_records","asset_count","asset_locations"
"Corax",133151,0.569367,4,20,5000000,431,NULL,19,0.000000794081,39707,11,3
"Google",65724078,0.918148,20,120210,110855000000,82,NULL,19,0.109081,1706093951,42821,6
"Amazon",50812496,0.785212,24,563100,177866000000,215,428,28,0.150045,822535197,3935,28
"Salesforce",16940194,0.846416,19,29000,10480012000,154,32,19,0.0218261,129489053,3104,31
"T-Mobile",32419181,0.734967,24,76740,40600000000,265,229,31,0.000000878902,996275115,245,20
"Wildbit",144460,0.470414,17,30,5000000,530,NULL,19,0.000000794081,39637,17,3
"Neustar",1794031,0.460909,22,1990,902041000,539,380,31,0.00259147,24804614,252,17
"Marketo",741372,0.617594,12,1660,209869000,382,31,19,0.00556907,2376744,247,11
"Akamai Technologies",2974346,0.606661,20,6580,2502996000,393,293,19,0.0541359,31166236,295,20
"Dyn",220411,0.889387,17,280,42000000,111,31471,19,0.0129704,475647,11214,1079
"Level 3 Communications",12320897,0.633414,20,12920,8277000000,367,1011,31,0.000028871,226455132,400,25
"Microsoft",44871723,0.770226,43,124000,89950000000,230,467,29,0.0892963,725749640,2045,43
"CenturyLink",24915557,0.73331,88,51000,17656000000,267,429,31,0.00120787,517633896,481,35
"Adobe",15319173,0.90223,36,19080,7301505000,98,256,19,0.00618419,90595985,2618,39
"Sprint",30961557,0.721828,119,96220,33347000000,278,501,31,0.000000870904,924556728,249,33
"Rackspace",4624466,0.829,20,6910,2001300000,171,207,19,0.00872787,24923554,882,19
"Synacor",788238,0.732966,20,320,140027000,267,5,19,0.000352057,1744373,94,9
"Infogroup",911605,0.685268,46,1300,195000000,315,48,28,0.000000978956,2433460,34,5
"LightEdge Solutions",456233,0.420255,22,140,35000000,580,1831,19,0.00000515799,357362,103,11
"Raytheon",18929850,0.615455,96,64000,25348000000,385,2297,28,0.00000175831,328784011,189,18
"QTS",1124151,0.359553,13,760,446510000,640,49,20,0.000000896372,5056619,160,13
"Internap",941818,0.581211,22,740,280718000,419,484,19,0.0000101848,3497002,139,16
"DigitalOcean",603382,0.638449,7,420,75000000,362,NULL,19,0.00000853894,849369,52,10
"Cloudflare",542586,0.530186,9,650,75000000,470,32,19,0.0182037,849369,98,6
"ServerStack",32945,0.200578,14,5,500000,799,20,19,0.000000682982,3397,16,1
"Imperva Incapsula",905777,0.44241,9,1020,321716000,558,NULL,19,0.00611323,3649786,36,4
"iWeb",330686,0.593733,21,200,30000000,406,131,19,0.000000682982,305773,110,10
"TELUS",14567712,0.638278,28,23740,7155000000,362,313,17,0.000204047,196010485,326,30
"Joyent",392785,0.75865,14,150,22500000,241,26,19,0.00000113978,203849,112,13
"Outscale US",277666,0.534365,7,90,13500000,466,NULL,19,0.000000682982,122309,93,4
"OVH",1026214,0.478912,19,1640,246000000,521,99,31,0.00314449,6149972,367,9
"Mailjet",329118,0.243472,8,110,35000000,757,71,NULL,0.00214753,317655,49,2
"Cogeco Peer 1",797306,0.653308,19,610,200000000,347,208,NULL,0.00000378626,2264979,498,22
"SoftLayer",21331142,0.374304,13,380000,57000000000,626,227,19,0.00821955,523719541,225,9
"Tucows",1768869,0.696448,25,400,329420741,304,288,31,0.00000568577,9058997,146,9
"SendGrid",435934,0.57475,9,415,62250000,425,95,19,0.067113,704977,126,11
"Proofpoint",1099207,0.599923,16,2047,515289000,400,284,12,0.00060062,5595995,394,21
"Verizon",23167680,0.625387,33,162000,24300000000,375,67,14,0.000000872662,290494840,55,7
"Tata Communications",2703087,0.437278,16,10260,2800000000,563,404,33,0.000000682982,31746867,121,17
"PTC",2128521,0.790055,33,6310,946500000,210,106,28,0.000000682982,11810879,194,18
"CDNetworks",287378,0.692664,18,400,75000000,307,290,19,0.000458302,849369,138,13
"Zendesk",1479994,0.757936,11,2400,430492000,242,162,19,0.0127793,4875224,1632,21
"Oracle",42946447,0.907629,41,138000,37728000000,92,7503,19,0.0109089,425509525,2963,78
"Global Capacity",551359,0.386975,17,307,46050000,613,10,31,0.000000682982,1151250,107,NULL
"ServiceNow",3108809,0.768642,15,6920,1933026000,231,62,19,0.0000119493,21885251,306,20
"AOL",8567228,0.970292,35,5600,840000000,30,22054,19,0.0000265684,23098778,2799,22
"Limelight Networks",719344,0.745921,17,533,184360000,254,28,NULL,0.0000933493,2087859,178,11
"Upland Software",371223,0.71855,19,375,97952000,281,420,19,0.000252585,1109299,433,33
"Influitive",207068,0.567003,8,150,35000000,433,19,NULL,0.000000682982,317098,30,11
"QUANTIL",192322,0.37777,5,30,5000000,622,180,19,0.000000682982,87500,44,5
"GTT",2402731,0.63761,20,2000,827900000,362,552,31,0.0000223539,22766080,291,28
"PCCW",1253705,0.382385,39,1720,258000000,618,195,17,0.00000311817,7094965,49,6
"GoDaddy",3415777,0.660086,21,5990,2231900000,340,373,19,0.0533658,27793339,250,5
"CacheFly",152078,0.373889,16,10,5000000,626,174,NULL,0.00000151904,75000,42,7
"ServerCentral",235623,0.412277,18,90,35000000,588,46,NULL,0.0000414952,317098,65,6
"Media Temple",231443,0.55382,20,200,30000000,446,2020,19,0.00145116,305773,215,12
"DATACAMP LIMITED",489714,0.45981,NULL,100,15000000,540,NULL,12,0.000000682982,300000,2,NULL
"ChinaCache",410157,0.379921,20,430,64500000,620,31,19,0.000000682982,803504,28,8
"Cogent Communications",1527032,0.369071,19,1220,485175000,631,596,31,0.00000698037,12129161,201,8
"Zenlayer",256675,0.638622,4,76,11400000,361,NULL,19,0.000000794081,103283,23,6
"StatusPage.io",33235,0.529533,5,10,1500000,470,5,19,0.000000794081,10192,873,5
"Highwinds",291504,0.536737,16,100,15000000,463,686,19,0.000000682982,135899,52,7
"Easynews",24462,0.412365,24,5,750000,588,NULL,19,0.000000794081,5946,38,7
"jsDelivr",35505,0.18168,NULL,5,500000,818,6,19,0.000000794081,3397,10,3
"Linode",428752,0.643,15,130,35000000,357,376,19,0.00706149,317098,90,13
"ClearSlide",163702,0.561368,8,100,15000000,439,159,19,0.00000260141,135899,145,12
"Marsh",5714378,0.561548,104,30300,4545000000,438,546,13,0.00000178239,61779036,229,15
"Skyriver",280316,0.470751,18,50,5000000,529,142,31,0.00000368942,87500,24,4
"MaxCDN",46290,0.745076,9,20,3000000,255,185,19,0.000000794081,23782,92,15
"Mirror Image",161895,0.614692,21,45,5000000,385,7,19,0.000000794081,45300,11,3
"OnApp",271942,0.435174,7,150,35000000,565,303,19,0.000000794081,317098,60,9
"UK2 Group",276639,0.233933,20,110,18000000,766,452,19,0.000116647,183464,104,11
"Windstream Holdings",11452232,0.649499,12,14500,5852900000,351,213,31,0.00000138865,145947719,214,29
"Pacnet",480665,0.501024,10,300,45000000,499,820,17,0.0000081022,1125000,202,15
"Total Server Solutions",180451,0.540563,13,76,11400000,459,568,19,0.00000348187,103283,65,8
"Navisite",815001,0.189199,22,1190,178500000,811,7536,19,0.00000395836,2223645,135,7
"Blackberry",368257,0.481753,NULL,100,15000000,518,NULL,NULL,0,135899,6,1
"Conversant Solutions Pte",96779,0.437755,NULL,45,5000000,562,218,19,0.000000794081,39637,62,10
"BitGravity",50115,0.315321,12,12,1800000,685,4571,19,0.000256491,12231,346,3
"Yottaa",461089,0.733734,9,70,35000000,266,33,19,0.000000794081,317098,57,21
"Hiscox",5964981,0.736944,117,2300,3391220000,263,7,2,0.000000794081,46127610,92,7
"Arthur J. Gallagher International",338273,0.438011,NULL,100,15000000,562,21,2,0.00000153654,136138,70,2
"Brit",1907148,0.299508,23,558,1509830000,700,NULL,2,0.00000178239,18838425,35,5
"Mimecast",638599,0.447454,15,1260,189000000,553,127,19,0.0000312848,2144168,119,10
"Volkswagen",77525979,0.91837,81,642292,260028000000,82,213,2,0.00000186139,988824754,621,40
"Enel Sp A",31408400,0.63078,56,62080,76851100000,369,99,7,0.00000731078,742667528,153,3
"Intel",39080210,0.782106,50,127500,62761000000,218,127,NULL,0.000000682982,611137653,599,33
"General Motors",35521153,0.698402,110,225000,145588000000,302,34,NULL,0.00000502787,964849642,149,7
"HP",24679603,0.860004,79,66000,9900000000,140,380,19,0.00000110677,294835914,703,29
"Merit Network",486881,0.38699,52,100,35000000,613,260,18,0.00000125502,334595,76,5
"Royal Dutch Shell",29591797,0.627942,106,84000,311870000000,372,94,NULL,0.00000198593,989463651,186,17
"Bitly",446051,0.80644,10,190,28500000,194,316,19,0.00000109873,258208,93,19
"Automattic",861108,0.54443,13,670,200000000,456,66,19,0.000000682982,2264979,64,5
"NRG Energy",11247225,0.529774,29,5940,10629000000,470,60,NULL,0.000000794081,143420703,63,5
"Web.com",2665717,0.843551,21,3600,749261000,156,808,28,0.0000312361,9333468,240,23
"Fiat Chrysler Automobiles",26524280,0.474507,4,235920,133211000000,525,6,NULL,0.000000682982,794922195,45,5
"MailChimp",714173,0.722726,17,751,112650000,277,NULL,19,0.0293579,1275752,153,5
"BASF",36000074,0.657906,153,115490,67962900000,342,64,NULL,0.000000682982,761662240,441,17
"Cvent",491650,0.76648,19,1910,187716000,234,398,19,0.00000528464,2125865,369,32
"SBB CFF FFS",10220560,0.465297,116,8820,9031170000,535,87,12,0.000000682982,152250061,106,2
"Samsung Group",63111953,0.844435,80,320671,211940000000,156,520,87,0.00000474381,1993082056,1710,40
"DTN / The Progressive Farmer",462957,0.391829,34,280,42000000,608,117,NULL,0.000000682982,1155000,91,7
"Daewoo",593151,0.346855,18,330,49500000,653,NULL,NULL,0.000000967502,612336,37,1
"Norfolk Southern",12130782,0.478082,37,27110,10551000000,522,275,12,0,162689247,63,2
"Eskom",5804442,0.439233,95,35590,5338500000,561,14,7,0.000000682982,73390493,48,6
"Duke Energy",24625260,0.634088,114,29060,22740000000,366,135,7,0.00000113978,301673714,75,8
"CyrusOne",501372,0.462372,18,440,66000000,538,20,20,0.000305044,747445,38,11
"Siemens",50213214,0.834967,171,256000,87541600000,165,943,12,0.00000153654,794519049,963,39
"VMware AirWatch",10845987,0.816168,15,1170,7922000000,184,NULL,19,0.000000682982,89296184,64,12
"Efficient Capital Management",173843,0.62605,19,30,5000000,374,28,12,0.000000794081,46288,11,3
"Mitsubishi",31590387,0.66622,100,60000,64035000000,334,NULL,NULL,0.000000682982,736793887,17,2
"Aon",15203260,0.834998,36,69000,9998000000,165,404,12,0.000000682982,123841156,742,28
"DXC Technology",21209187,0.677898,1,170500,25000000000,322,392,12,0.000000842517,271033655,442,34
"Lockton Companies",1464691,0.251565,52,5770,865500000,748,NULL,2,0.000000682982,10800241,45,7
"DataBank",291496,0.417604,13,120,18000000,582,24,19,0.0000254683,163079,27,10
"AIG",33314804,0.705248,99,49800,49520000000,295,7,2,0.00000182106,572536396,238,8
"Aspen Insurance",765901,0.440784,16,1115,167250000,559,651,2,0.000000682982,1897419,1097,5
"NetNames",539260,0.246925,23,150,22500000,753,218,19,0.00000136593,229330,102,7
"CFC Underwriting",608146,0.293302,18,258,57146200,707,28,2,0.0000007575,661294,54,3
"EveryCloud Technologies",117558,0.532983,10,15,5000000,467,56,19,0.000000872662,34034,27,8
"Cirrus Tech",215286,0.308586,19,20,5000000,691,438,19,0.00000286829,45300,94,2
"talbotuw.com",616059,0.344081,13,376,56400000,656,NULL,NULL,0,638726,51,2
"Allianz",1434954709,0.813623,128,92960,132973000000000,186,39,2,0.00000311529,925757103,346,18
"Chubb",22309280,0.440773,33,20000,32243000000,559,216,2,0.000000682982,373678996,177,22
"MasterBase",350550,0.555203,16,60,35000000,445,17,19,0.00000125202,317098,47,8
"PR Newswire",1564472,0.795673,64,1840,276000000,204,327,19,0.000000794081,7589957,142,13
"Walmart",71666249,0.869977,56,2300000,500343000000,130,104,12,0.00000194267,907164608,248,30
"AppNexus",848679,0.733673,11,1090,163500000,266,106,19,0.000000682982,4087492,1148,14
"Datapipe",2261492,0.713287,20,7060,1059000000,287,446,19,0.0000137694,13191301,355,16
"SunTrust",11915054,0.726942,127,23785,8200000000,273,50,64,0.000000682982,113297341,68,12
"Maritz",1553982,0.558115,124,4880,732000000,442,77,13,0.0000017867,9964901,56,6
"Epsilon",2621282,0.762514,49,8000,1200000000,237,21,28,0.000000682982,14973562,167,16
"Black Knight Financial Services",2007285,0.57822,4,8000,1200000000,422,NULL,12,0.000000682982,13884857,17,5
"MetLife",28489640,0.568026,150,49000,62308000000,432,16,2,0.00000112934,678339842,209,18
"Apptix",609434,0.309195,21,790,118500000,691,176,31,0.00000585027,3258747,62,12
"State Street",12996628,0.694572,46,36640,11170000000,305,45,NULL,0.000000794081,140868974,64,11
"Business Wire",986416,0.588601,57,1000,150000000,411,165,NULL,0.000325779,4124993,95,6
"Anthem",50940718,0.839409,14,56000,90039400000,161,14,2,0.00000130161,674408425,136,14
"BI WORLDWIDE",940565,0.263995,68,1980,297000000,736,28,12,0.000000682982,3706332,71,12
"Alchemy Communications",176553,0.559262,23,30,5000000,441,7,19,0.0000574118,45300,72,4
"Zix",489266,0.677277,30,233,65663000,323,115,19,0.000000794081,743629,40,10
"Schlumberger",19262832,0.420835,92,100000,27810000000,579,51,NULL,0.00000206607,362353664,250,18
"Facebook",50745893,0.875389,14,25000,40653000000,125,373,19,0.00000699663,906637963,9597,32
"Nestl",27284420,0.53954,152,323000,88134000000,460,114,NULL,0.0000017884,858293284,499,15
"Target",51663926,0.895947,115,341000,69495000000,104,1,12,0.000000794081,1557687741,259,19
"Gannett",8442683,0.769656,3,24200,3146480000,230,126,NULL,0.00000735099,78603643,113,15
"Alliance Entertainment",542741,0.379256,28,300,45000000,621,NULL,NULL,0.0000007575,699653,53,6
"Contegix",363006,0.576663,79,100,35000000,423,4450,28,0.0000767598,397069,204,15
"ThreatMetrix",233951,0.493467,13,300,35000000,507,73,19,0.000000682982,356735,59,10
"Quest Diagnostics",8068585,0.592899,51,19320,7709000000,407,270,NULL,0.00000316339,91684538,164,15
"Listrak",281897,0.600198,19,300,75000000,400,136,19,0.00000151446,849369,54,8
"Verisk Analytics",4098287,0.77105,47,7079,2145200000,229,29,12,0.000000794081,26761393,148,16
"Integra",976302,0.604032,NULL,1460,219000000,396,554,31,0.0000258143,5474980,267,11
"PeopleFluent",290996,0.62834,21,480,75000000,372,22,28,0.000000682982,935948,164,16
"Twitter",8820020,0.857227,13,3372,2443299000,143,1,19,0.0000007575,61055141,171,12
"Slack",1145693,0.716497,9,1000,200000000,284,132,19,0.000000682982,4999985,6826,9
"SingleHop",295060,0.54068,12,180,35000000,459,272,19,0.00000403499,317098,63,9
"Event Farm",169668,0.581568,7,40,5000000,418,12,NULL,0.000000682982,39637,16,4
"Peak 10",553394,0.686043,18,470,70500000,314,30,19,0.00000250613,799810,47,8
"TierPoint",532891,0.460416,8,760,200000000,540,1037,19,0.000279872,2264979,221,28
"Shopify",1680837,0.828311,12,3530,529500000,172,29205,19,0.00167781,5996424,1496,25
"1&1 Web Hosting",491159,0.526984,30,260,39000000,473,76,NULL,0.000272581,441672,99,3
"DNSimple",134497,0.512983,8,9,5000000,487,NULL,19,0.0000062141,33975,36,5
"BlackMesh",128735,0.197042,14,30,4500000,803,177,NULL,0.000000764273,35674,46,NULL
"Instart Logic",277135,0.346095,8,170,35000000,654,268,19,0.000000682982,317098,81,6
"Dimension Data",4433962,0.618868,35,27630,4144500000,381,193,19,0.00000217689,51653999,146,16
"VMware",17632019,0.910098,20,20760,7922000000,90,96,19,0.00000610806,98225803,1359,27
"SEVEN Networks",569374,0.177906,18,210,35000000,822,NULL,19,0.000000682982,317098,2,1
"Motive",686863,0.566475,21,300,97000000,434,NULL,19,0.000000794081,1208369,20,5
"Lithium Technologies",665193,0.77038,17,630,94500000,230,77,19,0.00586627,1072086,68,12
"GroupM",2702902,0.667187,15,6180,927000000,333,151,NULL,0.000000682982,23173506,128,7
"eStruxtureDataCenter",178002,0.214471,1,31,4650000,786,1650,NULL,0.00000153654,36863,50,5
"TradeOne Marketing",316813,0.282811,18,76,11400000,717,21,28,0.000000794081,103465,27,2
"Atlantic Metro Communications",316844,0.318023,11,60,35000000,682,3352,19,0.0000309419,317098,128,15
"RagingWire",473899,0.199969,17,310,35000000,800,92,NULL,0.00000193325,356735,34,2
"Bell Canada",18583433,0.694089,138,49970,7495500000,306,227,17,0.000172067,223922255,160,35
"Q9 Networks",324533,0.309182,23,210,31500000,691,NULL,19,0.000054445,321062,35,7
"Getty Research Institute",855111,0.611706,65,1000,200000000,388,211,18,0.000000682982,2336849,51,9
"Webair",136340,0.313299,22,50,5000000,687,1169,19,0.0000227092,45300,203,9
"Internet Archive",212879,0.619941,22,150,35000000,380,565,19,0.00000158559,356735,322,23
"SES",3854129,0.390868,33,2800,2145090000,609,14,NULL,0.0000017884,58969626,110,9
"DNS Made Easy",20068,0.641955,17,50,500000,358,20,19,0.0109145,3964,92,11
"Unwired",309643,0.486752,14,30,5000000,513,64,NULL,0.00000164056,87500,14,3
"Squarespace",683008,0.682779,14,820,200000000,317,NULL,19,0.000311594,2264979,22,7
"MegaPath",460213,0.393902,22,580,87000000,606,100,31,0.00000233403,2392499,286,17
"New York Internet",195657,0.490383,22,45,5000000,510,132,19,0.000258207,45300,71,6
"Constant Contact",1325071,0.849386,23,840,331700000,151,46,19,0.000313562,4132093,204,15
"Sailthru",356933,0.441224,10,180,35000000,559,370,19,0.000000764273,317098,71,11
"FreedomVoice",147520,0.626958,22,30,4500000,373,NULL,31,0.000000794081,90000,43,8
"Mapp Digital",285270,0.600677,1,470,75000000,399,30,19,0.00519924,849369,129,9
"Atlassian",1793643,0.831513,16,2760,414000000,168,14,19,0.000000869865,4688461,202,11
"Skytap",239189,0.704965,12,200,35000000,295,6,19,0.000000882146,317098,38,12
"Barracuda Networks",1440429,0.812007,15,1490,352649000,188,28,19,0.0000128362,3993688,239,20
"NetSuite",2284015,0.857998,20,4603,741149000,142,186,19,0.0000904239,9232426,1261,17
"Panopta",138184,0.624364,10,15,5000000,376,18,19,0.000000682982,33975,42,6
"Hurricane Electric",750114,0.127145,24,83,35000000,873,1198,17,0.0000064134,787500,81,5
"Interoute",944922,0.451048,23,2400,360000000,549,2439,31,0.0000381559,9899904,422,8
"LivePerson",618992,0.468503,0,1028,223000000,531,33,19,0.000000794081,2525450,61,14
"Flexmail",179851,0.49313,18,10,5000000,507,NULL,NULL,0.000000682982,75000,34,2
"PlumChoice",658246,0.623976,17,650,75000000,376,47,19,0.000000794081,1874999,43,7
"Hawk Incentives",2677818,0.540958,10,3190,2231606000,459,5,12,0.000000682982,25307745,57,7
"Wayne State University",2025943,0.55768,NULL,8600,1290000000,442,1031,18,0.000000872662,13700764,159,11
"Tumblr",1672151,0.598222,11,3000,450000000,402,NULL,19,0.000000682982,11249829,22,5
"InfoRelay",52672,0.281476,22,15,2250000,719,381,NULL,0.000000682982,17837,33,NULL
"HEG",326348,0.298245,21,90,13500000,702,72,19,0.000332957,137598,61,4
"Elastic Email",115217,0.503813,8,10,5000000,496,35,19,0.000457957,33975,44,4
"Armor",280524,0.726673,9,230,35000000,273,10,19,0.00000178239,317098,98,11
"CSRA",5713812,0.651556,3,40000,4993000000,348,14,12,0.000000839626,56539076,75,7
"Hyatt Hotels",6386539,0.704429,61,45000,4685000000,296,104,1,0.000000682982,55875734,260,24
"arsalon.net",37479,0.282339,NULL,5,750000,718,63,NULL,0.0000122518,5096,34,4
"OnX",359623,0.417995,34,620,93000000,582,89,19,0.00000897287,1160576,74,6
"gsicommerce",1214284,0.631355,18,3001,450150000,369,7,NULL,0.000000682982,4888614,35,2
"Harte Hanks",1105843,0.546195,95,4550,383906000,454,659,12,0.00000115944,5226362,127,13
"Olson",572950,0.608899,26,420,63000000,391,14,12,0.000000682982,1732499,56,11
"Medallia",536683,0.73804,17,1390,208500000,262,64,19,0.000000902615,2361240,169,15
"Stefanini",2238829,0.528357,31,10840,1626000000,472,245,12,0.00000216043,20287346,122,8
"SunGard",16904987,0.8478,50,7110,9123000000,152,56,NULL,0.000000794081,112944923,132,15
"Ning",494549,0.480478,14,360,54000000,520,16,19,0.000911444,1350000,32,3
"WordFly",520334,0.428614,9,376,56400000,571,117,19,0.00000254564,638726,19,2
"StackPath",248441,0.636094,3,210,35000000,364,NULL,19,0.000000794081,317098,45,12
"Volusion",466862,0.854377,19,410,75000000,146,16,19,0.000000682982,849369,151,16
"Zoneedit",43915,0.269601,23,6,900000,730,173,19,0.000316006,7135,73,8
"Qualtrics",1138164,0.81897,16,1820,273000000,181,52,28,0.000000682982,3097122,64,9
"City and County of San Francisco",3911834,0.523857,41,28000,4200000000,476,174,67,0.000000967502,42346878,58,10
"The University of Texas Health Science Center at Houston",882493,0.238759,46,7272,269000000,761,34,23,0.00000178841,3143054,32,4
"AdvisorEngine",130539,0.588067,4,60,5000000,412,NULL,19,0.000000794081,39707,38,7
"Appthority",177736,0.535859,7,50,5000000,464,16,19,0.000000682982,87500,20,3
"ARRIS",11715365,0.615139,23,9000,6614392000,385,443,17,0.000000734713,181301273,187,15
"8x8",1120750,0.590972,31,1230,253388000,409,258,31,0.00000102455,6968136,168,7
"A10 Networks",583479,0.459293,14,800,230003000,541,255,19,0.000000682982,2604757,108,7
"Peak Hosting",165114,0.647945,17,50,5000000,352,7,19,0.000000682982,39637,8,4
"Aardman Animations",513791,0.458992,42,330,75000000,541,NULL,NULL,0.000000682982,2062499,16,1
"accesso",725942,0.702459,19,320,152043000,298,120,28,0.000000794081,1897389,82,10
"Acclarent",571034,0.458018,14,300,45000000,542,NULL,NULL,0.000000682982,488706,4,3
"Accretive Solutions",625166,0.606979,19,440,66000000,393,6,12,0.000000794081,823635,16,5
"Accuray",781567,0.412943,28,1000,383414000,587,61,8,0.000000682982,3986091,37,11
"Epicor Software",1277982,0.516019,46,4440,666000000,484,561,NULL,0.000000682982,8296368,115,12
"ActiveVideo",368552,0.601128,30,150,35000000,399,37,31,0.000000682982,787500,57,5
"Actuate",3791476,0.823548,24,570,2290000000,176,2460,19,0.00000275812,28566400,1037,48
"iland Cloud",307321,0.505422,23,120,35000000,495,17,19,0.000000682982,356735,40,6
"Addleshaw Goddard",1022295,0.513305,NULL,2000,300000000,487,57,20,0.000000682982,3403427,36,2
"Adept Technology",290511,0.507362,35,270,14300000,493,57,12,0.000000682982,162231,45,8
"ADP",18988656,0.826367,69,58000,12379800000,174,79,35,0.00000368069,152739801,199,16
"Broadridge",5913178,0.707175,56,10000,4142600000,293,79,12,0.00000175831,51630380,196,16
"XMission",850311,0.135888,25,340,51000000,864,2614,17,0.0000983923,1402500,295,8
"AdRoll",890681,0.739478,11,750,200000000,261,8,19,0.000000682982,2264979,67,11
"Webpass",535691,0.274697,15,90,13500000,725,16,NULL,0.000000872662,270000,55,5
"Workfront",730523,0.599578,17,900,200000000,400,13,19,0.000000794081,2264979,126,16
"Advanced",837921,0.539442,NULL,1740,261000000,461,44,NULL,0.000000682982,2955792,268,7
"Advanced Discovery",370049,0.552065,13,500,75000000,448,NULL,24,0.000000794081,850862,16,5
"Advent Software",1456013,0.736628,35,1320,387000000,263,184,28,0.000000794081,4829441,52,8
"H&M",20925809,0.64191,71,148000,25191000000,358,46,12,0.00000148548,287385929,300,11
"Hogan Lovells",1558906,0.242467,30,6460,969000000,758,56,20,0.00000175831,12091606,137,9
"Liverpool Hope University",672510,0.333755,174,751,112650000,666,NULL,NULL,0.000000682982,1435890,29,4
"Hotwire",327186,0.480062,18,350,52500000,520,33,20,0.000000682982,594559,367,9
"Expedia",11983052,0.682704,22,33940,10059844000,317,88,19,0.00000172896,124377132,268,15
"HUB International",1632315,0.485355,9,6670,1000500000,515,655,2,0.000000794081,11349653,671,45
"SMTP",1864507,0.549575,20,2487,1117838000,450,16,19,0.0000346038,13924076,74,10
"Hudson",1045282,0.37225,15,2260,456721000,628,68,12,0.000000682982,5181342,100,6
"Huntsworth PLC",866701,0.409595,44,1517,267206000,590,33,NULL,0.000000682982,7348126,25,4
"HydroPoint Data Systems",508783,0.557713,16,80,35000000,442,28,NULL,0.000000682982,321458,9,3
"AppRiver",363148,0.499112,16,220,33000000,501,51,19,0.00000332902,298978,107,6
"HyTrust",273296,0.692096,11,200,35000000,308,16,19,0.000000794081,317098,21,9
"IASIS Healthcare",964249,0.493844,19,1863,279450000,506,21,10,0.000000682982,3034846,20,NULL
"ICAEW",530067,0.437475,138,1100,165000000,563,171,12,0.000000682982,2291244,57,4
"SirsiDynix",326848,0.386742,39,400,60000000,613,2041,19,0.00000194642,747445,175,10
"Information Commissioner's Office",253680,0.479608,NULL,100,15000000,520,35,67,0.000000682982,110137,16,2
"IDC",1243863,0.362687,54,4460,669000000,637,14,12,0.00000178841,8348382,162,10
"Ideal Shopping Direct",743722,0.431724,38,751,112650000,568,14,NULL,0.000000682982,1345732,18,2
"Idox Group",504648,0.63161,18,330,49500000,368,1210,12,0.000000682982,561569,77,4
"Integrated Device Technology",1744860,0.685966,38,1623,728243000,314,72,19,0.000000794081,9071670,90,13
"IG",1809561,0.716885,44,2220,638604000,283,NULL,12,0.000000764273,8128644,191,2
"IHS",4372297,0.925317,58,7340,1101000000,75,473,12,0.000000682982,13902943,608,NULL
"WorldAPP",423246,0.60529,16,190,35000000,395,NULL,19,0.000000682982,317098,17,5
"Critigen",270325,0.385382,9,200,35000000,615,186,19,0.000000970088,317655,33,4
"Innovative Interfaces",469084,0.647235,40,340,75000000,353,242,19,0.0000210492,934306,74,11
"Ikanos",701546,0.35531,19,340,51000000,645,NULL,NULL,0,1275000,4,2
"Verisign",4400643,0.800998,23,1340,1165095000,199,NULL,19,0.00000292764,32036851,252,10
"TeraGo Networks",463948,0.632515,19,250,35000000,367,12,31,0.000000682982,700000,52,9
"Industrial Light & Magic",1068463,0.442967,43,1250,187500000,557,NULL,37,0.000000682982,5156236,5,4
"Imagination",584034,0.465322,NULL,980,200000000,535,36,NULL,0.000000682982,4999985,30,3
"Immersion",393243,0.625993,25,6,35013000,374,47,19,0.000000682982,787792,24,6
"Impax Laboratories",1341054,0.406906,23,5000,775787000,593,NULL,8,0.000000682982,8065047,19,7
"Freudenberg IT LP",485882,0.32727,23,380,75000000,673,28,NULL,0.000000794081,935948,33,3
"IMS Health",3278180,0.751971,63,14000,2100000000,248,662,19,0.000000682982,26197900,158,NULL
"GalaxyVisions",179088,0.25456,15,15,5000000,745,542,19,0,33975,29,1
"Gardner-Webb University",754208,0.338838,113,750,200000000,661,12,18,0.000000682982,2549290,67,9
"Incisive Media",647003,0.573354,24,610,91500000,427,157,NULL,0.000000682982,2516248,127,9
"DesignMind",132993,0.553557,22,40,5000000,446,NULL,19,0.000000682982,45379,15,4
"Zillow",2987581,0.841847,12,1390,1100000000,158,126,20,0.000000682982,12456292,135,23
"Frederick",50740,0.714664,4,19,2850000,285,70,19,0.000000794081,22593,54,12
"Advent International",714471,0.358053,34,620,200000000,642,NULL,NULL,0.000000682982,2545824,69,2
"Zoho",1408452,0.312002,22,5700,855000000,688,62,19,0.00000362303,10650513,241,11
"Aeroflex",4660722,0.299799,84,290,2526960000,700,47,NULL,0.000000682982,75772515,23,2
"Aerohive Networks",652993,0.749189,12,490,152899000,251,147,19,0.000000794081,1731567,86,15
"Thermo Fisher Scientific",24047731,0.779916,62,43700,20918000000,220,615,12,0.000000777822,252800091,797,33
"MarkMonitor",519059,0.668846,19,500,75000000,331,299,19,0.0000919012,934306,124,14
"Corning Incorporated",4435441,0.32962,166,34000,5100000000,670,NULL,NULL,0.000000682982,69295253,11,NULL
"AGCO",10404197,0.602743,28,7150,7410000000,397,98,1,0.000000682982,187600663,49,9
"Bayer",8532920,0.368022,155,74130,11119500000,632,14,8,0.000000682982,124955816,128,10
"Air Monitor",169413,0.256145,51,45,6750000,744,5,NULL,0.000000794081,75150,8,5
